implementation,material_class,candidate_id,temperature_K,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,extension_um,onset_native_drive_MPa_sqrt_m,classification,grouping_method,grouping_log_gap_decades,right_censored_at_target
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,13.416289278069469,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,13.740634392729467,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,14.803956459612467,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,14.940197374740107,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,16.402385513809303,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,16.709233735547038,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.571389992551483,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,21.78083345717047,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,22.809233297265916,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,32.3325060779665,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,32.39715693980862,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,40.8207224176285,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,40.71100166386871,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.134107973118352,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,21.37303540276563,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,22.350947401888682,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,31.417400418702115,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,31.4807259008661,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,39.49910050491268,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,39.44416884241727,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.182372424233522,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,300.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,23.50376014174811,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.5589202452538684,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,300.0,1,1,21,21,2.4335696912706477,107.77927431065764,105.34570461938699,23.887050476028705,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.5589202452538684,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,600.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,23.289967582690362,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6822761146174718,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,600.0,1,1,21,21,2.4335696912706477,107.77927431065764,105.34570461938699,23.65888460238281,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6822761146174718,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,900.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,22.304088740041664,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.7184554093025977,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,900.0,1,1,21,21,2.4335696912706477,107.77927431065764,105.34570461938699,22.65473805425541,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.7184554093025977,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,20.578428453538006,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.9822010027942625,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,1,1,4,4,2.4335696912706477,18.914682684690003,16.481112993419355,21.46440176600551,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,3.9822010027942625,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,2,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,35.38364702488953,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,3.9822010027942625,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,20.19010108160125,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,3.8889307374615134,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,1,1,4,4,2.4335696912706477,18.914682684690003,16.481112993419355,21.037667380667514,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,3.8889307374615134,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,2,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,34.74258644343977,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,3.8889307374615134,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,23.673325088652895,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,24.104010447446377,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,25.40678075907101,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,3,3,4,2,10.566766351172998,18.914682684690003,8.347916333517006,25.455055068859483,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,4,5,13,9,18.914682684690003,47.46639350570406,28.55171082101406,24.65353073616431,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,5,14,21,8,47.46639350570406,107.77927431065764,60.31288080495358,24.90597563982108,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6720454288629245,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,22.35882690889712,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,22.76265591301505,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,23.992930523136387,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,3,3,4,2,10.566766351172998,18.914682684690003,8.347916333517006,24.038522076932338,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,4,5,13,9,18.914682684690003,47.46639350570406,28.55171082101406,23.2815500114583,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,5,14,21,8,47.46639350570406,107.77927431065764,60.31288080495358,23.519945915065858,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.6552425303511757,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,900.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,21.3645678986251,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,2.0568292832121378,False
