implementation,material_class,candidate_id,temperature_K,event_transaction_index,physical_avalanche_index,onset_role,pre_event_extension_um,pre_event_displacement_m,onset_native_drive_kind,onset_native_drive_MPa_sqrt_m,is_structural_G,right_censored_avalanche_after_onset
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,300.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.3863850238398366e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.887050476028705,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,600.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.3713041540182397e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.289967582690362,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,600.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.3731424617038605e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.65888460238281,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,900.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.3132559945485953e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.304088740041664,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,900.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.3148626109763153e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.65473805425541,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.211649793899972e-05,MODEL_NATIVE_EVENT_INDEXED_K,20.578428453538006,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.245776458836316e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.46440176600551,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,5,2,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,2.0083080939661912e-05,MODEL_NATIVE_EVENT_INDEXED_K,35.38364702488953,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.188785230591106e-05,MODEL_NATIVE_EVENT_INDEXED_K,20.19010108160125,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.22100914143211e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.037667380667514,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,5,2,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,1.971922722115104e-05,MODEL_NATIVE_EVENT_INDEXED_K,34.74258644343977,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.393876093568349e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.673325088652895,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.398977204504755e-05,MODEL_NATIVE_EVENT_INDEXED_K,24.104010447446377,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,1.3989823237064155e-05,MODEL_NATIVE_EVENT_INDEXED_K,25.40678075907101,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,1.3989927472486046e-05,MODEL_NATIVE_EVENT_INDEXED_K,25.455055068859483,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,5,4,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,1.3992872268778699e-05,MODEL_NATIVE_EVENT_INDEXED_K,24.65353073616431,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,14,5,REINITIATION_ONSET_PRE_EVENT,47.46639350570406,1.3993551132657964e-05,MODEL_NATIVE_EVENT_INDEXED_K,24.90597563982108,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.3164789564556197e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.35882690889712,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.3211260759168431e-05,MODEL_NATIVE_EVENT_INDEXED_K,22.76265591301505,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,1.3211310009750028e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.992930523136387,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,1.3211410444499419e-05,MODEL_NATIVE_EVENT_INDEXED_K,24.038522076932338,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,5,4,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,1.3214162264054057e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.2815500114583,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,14,5,REINITIATION_ONSET_PRE_EVENT,47.46639350570406,1.3214803168505318e-05,MODEL_NATIVE_EVENT_INDEXED_K,23.519945915065858,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,900.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,1.2579373760040685e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.3645678986251,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,900.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,1.2687670633171802e-05,MODEL_NATIVE_EVENT_INDEXED_K,21.860523853495874,False,True
