candidate_id,material_class,temperature_K,local_drive_stress_Pa,provider_configuration,cleavage_barrier_eV,emission_barrier_eV,cleavage_rate_s,emission_rate_s,peierls_rate_s,taylor_rate_s,cleavage_hazard_increment,emission_hazard_increment,common_kernel_fingerprint,comparison_status,source_function_direct_match_status
v913_zeroD_sobol_0202500,DBTT,300,1000000000.0,FEMCZM_CONSISTENT,1.3367176909830794,2.094434534804783,2.8004068014175345e-09,5.22562679451223e-22,5.895366205918726e-48,6.37140431776782e-15,2.8004068014175344e-15,5.22562679451223e-28,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,300,3000000000.0,PF_CONSISTENT,1.2712807013841654,1.9756734140906802,3.519769033317086e-08,5.1669874661304923e-20,5.895366205918726e-48,6.37140431776782e-15,3.519769033317086e-14,5.166987466130492e-26,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,300,3000000000.0,FEMCZM_CONSISTENT,1.2712807013841654,1.9756734140906802,3.519769033317086e-08,5.1669874661304923e-20,5.895366205918726e-48,6.37140431776782e-15,3.519769033317086e-14,5.166987466130492e-26,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,300,6000000000.0,PF_CONSISTENT,0.9683826948785199,1.8694076504116264,0.00431495944208501,3.1508205320234073e-18,5.895366205918726e-48,6.37140431776782e-15,4.31495944208501e-09,3.1508205320234073e-24,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,300,6000000000.0,FEMCZM_CONSISTENT,0.9683826948785199,1.8694076504116264,0.00431495944208501,3.1508205320234073e-18,5.895366205918726e-48,6.37140431776782e-15,4.31495944208501e-09,3.1508205320234073e-24,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,600,1000000000.0,PF_CONSISTENT,3.0128863689293977,3.7570834658823022,3.944194519335084e-12,2.2129817577538488e-18,2.428037521522006e-18,0.025241640829723848,3.944194519335084e-18,2.2129817577538487e-24,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,600,1000000000.0,FEMCZM_CONSISTENT,3.0128863689293977,3.7570834658823022,3.944194519335084e-12,2.2129817577538488e-18,2.428037521522006e-18,0.025241640829723848,3.944194519335084e-18,2.2129817577538487e-24,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,600,3000000000.0,PF_CONSISTENT,2.843981307351195,3.4757591812056603,1.0344235513719866e-10,5.105024399306482e-16,2.428037521522006e-18,0.025241640829723848,1.0344235513719866e-16,5.105024399306483e-22,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,600,3000000000.0,FEMCZM_CONSISTENT,2.843981307351195,3.4757591812056603,1.0344235513719866e-10,5.105024399306482e-16,2.428037521522006e-18,0.025241640829723848,1.0344235513719866e-16,5.105024399306483e-22,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0202500,DBTT,600,6000000000.0,PF_CONSISTENT,2.080579555681338,3.228822136039782,0.00026729503451287663,6.055886278410021e-14,2.428037521522006e-18,0.025241640829723848,2.672950345128766e-10,6.055886278410021e-20,32a83115639e2fbeb5d9d727e732ac5f23a38f47f56be9430c2509adba03ff0a,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
